Performance_ID,Run_Scored,Balls_Faced,No_of_boundaries,MOM,Wickets_taken,Player_ID,Match_Num
10650,40,21,6,No,0,1141,35
10651,18,12,2,No,2,1137,35
10652,13,9,1,No,1,1130,35
10653,3,4,0,No,0,1133,35
10654,0,2,0,No,0,1136,35
10655,0,0,0,No,1,1060,35
10656,56,29,9,No,0,1093,36
10657,27,29,4,No,0,1087,36
10658,31,26,3,No,1,1075,36
10659,48,21,7,No,0,1074,36
10660,1,2,0,No,1,1076,36
10661,18,10,3,No,0,1083,36
10662,12,3,2,No,0,1090,36
10663,54,37,6,No,0,1189,36
10664,17,7,3,No,0,1192,36
10665,2,5,0,No,0,1196,36
10666,5,4,1,No,0,1190,36
10667,34,18,4,No,0,1200,36
10668,22,18,2,No,0,1195,36
10669,10,9,1,No,0,1202,36
10670,5,4,0,No,1,1194,36
10671,11,10,1,No,0,1204,36
10672,13,2,1,No,2,1211,36
10673,0,0,0,No,1,1191,36
10674,0,0,0,Yes,3,1081,36
10675,77,43,12,Yes,0,1167,37
10676,27,21,4,No,0,1166,37
10677,17,17,1,No,0,1165,37
10678,8,10,0,No,0,1170,37
10679,34,15,5,No,0,1179,37
10680,27,13,5,No,0,1171,37
10681,1,1,0,No,1,1168,37
10682,47,29,6,No,0,1003,37
10683,8,16,1,No,0,1002,37
10684,15,13,0,No,0,1019,37
10685,52,33,6,No,0,1007,37
10686,0,2,0,No,0,1004,37
10687,23,12,4,No,0,1006,37
10688,23,15,3,No,1,1011,37
10689,0,0,0,No,1,1012,37
10690,0,0,0,No,2,1176,37
10691,12,9,2,No,0,1096,38
10692,54,24,11,No,0,1108,38
10693,43,24,6,No,0,1107,38
10694,72,40,11,No,0,1097,38
10695,45,19,8,Yes,1,1110,38
10696,11,6,2,No,0,1100,38
10697,5,2,1,No,0,1101,38
10698,9,13,2,No,0,1150,38
10699,1,2,0,No,0,1145,38
10700,66,36,10,No,0,1157,38
10701,36,22,5,No,0,1160,38
10702,23,14,3,No,1,1153,38
10703,21,11,3,No,0,1159,38
10704,24,10,3,No,0,1151,38
10705,6,9,0,No,0,1148,38
10706,0,1,0,No,1,1152,38
10707,0,1,0,No,3,1146,38
10708,2,2,0,No,1,1144,38
10709,0,0,0,No,2,1154,38
10710,0,0,0,No,0,1098,38
10711,19,15,4,No,2,1087,39
10712,81,39,12,No,0,1084,39
10713,0,4,0,No,0,1085,39
10714,11,14,0,No,0,1075,39
10715,4,3,1,No,0,1074,39
10716,19,20,1,No,0,1083,39
10717,34,19,5,No,0,1076,39
10718,8,6,1,No,0,1090,39
10719,10,10,1,No,0,1055,39
10720,49,35,8,No,0,1051,39
10721,26,20,3,No,0,1050,39
10722,51,24,7,No,0,1059,39
10723,32,18,4,No,0,1052,39
10724,0,2,0,No,1,1060,39
10725,0,0,0,Yes,2,1072,39
10726,0,0,0,No,0,1030,40
10727,59,35,9,No,0,1045,40
10728,63,39,7,Yes,0,1031,40
10729,1,3,0,No,0,1048,40
10730,12,9,1,No,0,1033,40
10731,9,10,1,No,0,1032,40
10732,29,14,3,No,2,1027,40
10733,11,8,1,No,0,1039,40
10734,0,2,0,No,0,1224,40
10735,5,6,1,No,0,1225,40
10736,10,6,1,No,0,1215,40
10737,8,13,0,No,0,1220,40
10738,53,27,6,No,0,1226,40
10739,28,21,3,No,0,1212,40
10740,16,10,2,No,0,1234,40
10741,67,36,13,No,0,1216,40
10742,0,0,0,No,0,1218,40
10743,0,0,0,No,1,1036,40
10744,37,31,5,No,0,1003,41
10745,28,17,3,No,0,1007,41
10746,92,52,17,Yes,0,1002,41
10747,10,6,2,No,0,1006,41
10748,12,10,0,No,0,1011,41
10749,13,4,2,No,0,1001,41
10750,42,24,6,No,0,1150,41
10751,28,15,5,No,0,1145,41
